Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol
2011-12-19 00:00:00-05:00,26.950000762939453,27.459999084472656,26.420000076293945,27.31999969482422,4285800,0.0,0.0,SNPS
2011-12-26 00:00:00-05:00,27.239999771118164,27.489999771118164,26.899999618530273,27.200000762939453,1738000,0.0,0.0,SNPS
2012-01-02 00:00:00-05:00,27.530000686645508,27.700000762939453,26.329999923706055,26.8700008392334,3249100,0.0,0.0,SNPS
2012-01-09 00:00:00-05:00,26.860000610351562,27.959999084472656,26.68000030517578,27.809999465942383,3081200,0.0,0.0,SNPS
2012-01-16 00:00:00-05:00,27.950000762939453,29.200000762939453,27.90999984741211,29.200000762939453,3621700,0.0,0.0,SNPS
2012-01-23 00:00:00-05:00,29.1200008392334,29.540000915527344,28.899999618530273,29.229999542236328,4257600,0.0,0.0,SNPS
2012-01-30 00:00:00-05:00,28.93000030517578,29.8799991607666,28.860000610351562,29.6299991607666,4355800,0.0,0.0,SNPS
2012-02-06 00:00:00-05:00,29.549999237060547,30.299999237060547,29.5,30.059999465942383,4155600,0.0,0.0,SNPS
2012-02-13 00:00:00-05:00,30.209999084472656,30.489999771118164,29.829999923706055,30.350000381469727,4550000,0.0,0.0,SNPS
2012-02-20 00:00:00-05:00,30.350000381469727,30.809999465942383,30.110000610351562,30.690000534057617,4994600,0.0,0.0,SNPS
2012-02-27 00:00:00-05:00,29.829999923706055,30.850000381469727,29.75,29.93000030517578,6189400,0.0,0.0,SNPS
2012-03-05 00:00:00-05:00,29.81999969482422,30.219999313354492,29.1200008392334,30.110000610351562,3100400,0.0,0.0,SNPS
2012-03-12 00:00:00-04:00,30.020000457763672,30.8799991607666,30.020000457763672,30.350000381469727,4024100,0.0,0.0,SNPS
2012-03-19 00:00:00-04:00,30.25,30.5,29.709999084472656,30.200000762939453,2458200,0.0,0.0,SNPS
2012-03-26 00:00:00-04:00,30.309999465942383,31.049999237060547,30.190000534057617,30.65999984741211,4662900,0.0,0.0,SNPS
2012-04-02 00:00:00-04:00,30.670000076293945,31.059999465942383,29.989999771118164,30.209999084472656,2680900,0.0,0.0,SNPS
2012-04-09 00:00:00-04:00,29.8700008392334,30.270000457763672,29.649999618530273,29.850000381469727,2778700,0.0,0.0,SNPS
